Format Version,1.1,Take Name,third_flight,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2015-05-31 10.17.21.452 PM,Total Frames,13813,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_11424,Marker_11424,Marker_11424,Marker_11441,Marker_11441,Marker_11441,Marker_11442,Marker_11442,Marker_11442,Marker_11447,Marker_11447,Marker_11447,Marker_11454,Marker_11454,Marker_11454,Marker_11456,Marker_11456,Marker_11456,Marker_11457,Marker_11457,Marker_11457,Marker_11459,Marker_11459,Marker_11459,Marker_11458,Marker_11458,Marker_11458,Marker_11460,Marker_11460,Marker_11460,Marker_11462,Marker_11462,Marker_11462,Marker_11466,Marker_11466,Marker_11466,Marker_11468,Marker_11468,Marker_11468,Marker_11473,Marker_11473,Marker_11473,Marker_11475,Marker_11475,Marker_11475,Marker_11476,Marker_11476,Marker_11476,Marker_11477,Marker_11477,Marker_11477,Marker_11480,Marker_11480,Marker_11480,Marker_11481,Marker_11481,Marker_11481,Marker_11484,Marker_11484,Marker_11484,Marker_11483,Marker_11483,Marker_11483,Marker_11485,Marker_11485,Marker_11485,Marker_11487,Marker_11487,Marker_11487,Marker_11488,Marker_11488,Marker_11488,Marker_11490,Marker_11490,Marker_11490,Marker_11491,Marker_11491,Marker_11491,Marker_11492,Marker_11492,Marker_11492,Marker_11498,Marker_11498,Marker_11498,Marker_11499,Marker_11499,Marker_11499,Marker_11486,Marker_11486,Marker_11486,Marker_11501,Marker_11501,Marker_11501,Marker_11500,Marker_11500,Marker_11500,Marker_11504,Marker_11504,Marker_11504,Marker_11506,Marker_11506,Marker_11506,Marker_11507,Marker_11507,Marker_11507,Marker_11512,Marker_11512,Marker_11512,Marker_11513,Marker_11513,Marker_11513,Marker_11516,Marker_11516,Marker_11516,Marker_11520,Marker_11520,Marker_11520,Marker_11521,Marker_11521,Marker_11521,Marker_11511,Marker_11511,Marker_11511,Marker_11523,Marker_11523,Marker_11523,Marker_11524,Marker_11524,Marker_11524,Marker_11526,Marker_11526,Marker_11526,Marker_11522,Marker_11522,Marker_11522,Marker_11527,Marker_11527,Marker_11527
,,"8392B20CF49E35702CA0","8392B20CF49E35702CA0","8392B20CF49E35702CA0","8392B20CF49E35702CB1","8392B20CF49E35702CB1","8392B20CF49E35702CB1","8392B20CF49E35702CB2","8392B20CF49E35702CB2","8392B20CF49E35702CB2","8392B20CF49E35702CB7","8392B20CF49E35702CB7","8392B20CF49E35702CB7","8392B20CF49E35702CBE","8392B20CF49E35702CBE","8392B20CF49E35702CBE","8392B20CF49E35702CC0","8392B20CF49E35702CC0","8392B20CF49E35702CC0","8392B20CF49E35702CC1","8392B20CF49E35702CC1","8392B20CF49E35702CC1","8392B20CF49E35702CC3","8392B20CF49E35702CC3","8392B20CF49E35702CC3","8392B20CF49E35702CC2","8392B20CF49E35702CC2","8392B20CF49E35702CC2","8392B20CF49E35702CC4","8392B20CF49E35702CC4","8392B20CF49E35702CC4","8392B20CF49E35702CC6","8392B20CF49E35702CC6","8392B20CF49E35702CC6","8392B20CF49E35702CCA","8392B20CF49E35702CCA","8392B20CF49E35702CCA","8392B20CF49E35702CCC","8392B20CF49E35702CCC","8392B20CF49E35702CCC","8392B20CF49E35702CD1","8392B20CF49E35702CD1","8392B20CF49E35702CD1","8392B20CF49E35702CD3","8392B20CF49E35702CD3","8392B20CF49E35702CD3","8392B20CF49E35702CD4","8392B20CF49E35702CD4","8392B20CF49E35702CD4","8392B20CF49E35702CD5","8392B20CF49E35702CD5","8392B20CF49E35702CD5","8392B20CF49E35702CD8","8392B20CF49E35702CD8","8392B20CF49E35702CD8","8392B20CF49E35702CD9","8392B20CF49E35702CD9","8392B20CF49E35702CD9","8392B20CF49E35702CDC","8392B20CF49E35702CDC","8392B20CF49E35702CDC","8392B20CF49E35702CDB","8392B20CF49E35702CDB","8392B20CF49E35702CDB","8392B20CF49E35702CDD","8392B20CF49E35702CDD","8392B20CF49E35702CDD","8392B20CF49E35702CDF","8392B20CF49E35702CDF","8392B20CF49E35702CDF","8392B20CF49E35702CE0","8392B20CF49E35702CE0","8392B20CF49E35702CE0","8392B20CF49E35702CE2","8392B20CF49E35702CE2","8392B20CF49E35702CE2","8392B20CF49E35702CE3","8392B20CF49E35702CE3","8392B20CF49E35702CE3","8392B20CF49E35702CE4","8392B20CF49E35702CE4","8392B20CF49E35702CE4","8392B20CF49E35702CEA","8392B20CF49E35702CEA","8392B20CF49E35702CEA","8392B20CF49E35702CEB","8392B20CF49E35702CEB","8392B20CF49E35702CEB","8392B20CF49E35702CDE","8392B20CF49E35702CDE","8392B20CF49E35702CDE","8392B20CF49E35702CED","8392B20CF49E35702CED","8392B20CF49E35702CED","8392B20CF49E35702CEC","8392B20CF49E35702CEC","8392B20CF49E35702CEC","8392B20CF49E35702CF0","8392B20CF49E35702CF0","8392B20CF49E35702CF0","8392B20CF49E35702CF2","8392B20CF49E35702CF2","8392B20CF49E35702CF2","8392B20CF49E35702CF3","8392B20CF49E35702CF3","8392B20CF49E35702CF3","8392B20CF49E35702CF8","8392B20CF49E35702CF8","8392B20CF49E35702CF8","8392B20CF49E35702CF9","8392B20CF49E35702CF9","8392B20CF49E35702CF9","8392B20CF49E35702CFC","8392B20CF49E35702CFC","8392B20CF49E35702CFC","8392B20CF49E35702D00","8392B20CF49E35702D00","8392B20CF49E35702D00","8392B20CF49E35702D01","8392B20CF49E35702D01","8392B20CF49E35702D01","8392B20CF49E35702CF7","8392B20CF49E35702CF7","8392B20CF49E35702CF7","8392B20CF49E35702D03","8392B20CF49E35702D03","8392B20CF49E35702D03","8392B20CF49E35702D04","8392B20CF49E35702D04","8392B20CF49E35702D04","8392B20CF49E35702D06","8392B20CF49E35702D06","8392B20CF49E35702D06","8392B20CF49E35702D02","8392B20CF49E35702D02","8392B20CF49E35702D02","8392B20CF49E35702D07","8392B20CF49E35702D07","8392B20CF49E35702D07"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-5.287240,0.879805,-1.689622,-2.272490,4.487722,-1.219863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-5.287299,0.879799,-1.689553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-5.287280,0.879746,-1.689609,-2.272288,4.487813,-1.219930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-5.287267,0.879828,-1.689601,-2.272244,4.487669,-1.219985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-5.287191,0.879782,-1.689563,-2.272305,4.487642,-1.219893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-5.287227,0.879845,-1.689497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
