15.30 11.15 6.66 X X 6.96 X X 2.21 2.20 X X 15.94 X 9.54 X 7.04 X 
16.31 11.15 6.62 X X 7.48 X X 2.16 2.23 X X 15.94 X 9.57X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
14.24 X X X X X X X 11.33 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
14.22 X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
14.26 X X X X X X X X X X X X X X X X X 
14.19 X X X X X X X X X X X X X X X X X 
14.23 X X X X X X X X X X X X X X X X X 
14.23 X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
14.22 X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
- X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
14.17 X X X X X X X X X X X X X X X X X 
14.12 X X X X X X X 11.25 X X X X X 13.01 X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
14.25 X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
- X X X X X X X X X X X X X X X X X 
X 12.04 X X X X X X X X X X X X X X X X 
X 12.14 X X X X X X 11.28 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
14.22 X X X X X X X X X X X X X X X X X 
X 12.09 X X X X X X 11.27 X X X X X X X X X 
X X X X X X X X 11.33 X X X X X X X X X 
14.19 X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
14.14 X X X X X X X 11.32 X X X X X X X X X 
X 12.18 X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 12.12 X X X X X X 11.29 X X X X X X X X X 
14.21 X X X X X X X 11.39 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
14.19 X X X X X X X X X X X X X X X X X 
14.17 X X X X X X X X X X X X X X X X X 
14.19 X X X X X X X 11.33 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
14.26 X X X X X X X X X X X X X X X X X 
X 12.20 X X X X X X 11.35 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X 11.43 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
14.21 X 12.56 X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
- X X X X X X X X X X X X X X X X X 
X X 12.68 X X X X X X X X X X X X X X X 
X X 12.80 X X X X X 11.47 X X X X X X X X X 
X X 12.70 X X X X X 11.51 X X X X X X X X X 
X X 12.43 X X X X X 11.38 X X X X X 12.99 X X X 
X X 12.62 X X X X X 11.40 X X X X X X X X X 
X X 12.56 X X X X X 11.34 X X X X X 13.06 X X X 
X X 12.54 X X X X X 11.39 X X X X X X X X X 
X X 12.51 X X X X X X X X X X X X X X X 
X X 12.45 X X X X X 11.43 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X 12.53 X X X X X 11.36 X X X X X 13.08 X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X 12.72 X X X X X X X X X X X X X X X 
14.24 X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X 12.34 X X X X X 11.40 X X X X X X X X X 
X X 12.62 X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X 12.79 X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
14.22 X 12.47 X X X X X 11.28 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X 12.86 X X 7.74 X X 11.39 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X 12.83 X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X 12.61 X X 7.64 X X 11.39 X X X 12.64 X 13.01 X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
14.18 X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X 12.52 X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X 12.41 X X 8.03 X X 11.40 X X X X X X X X X 
X X 12.71 X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
14.11 X 12.61 X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
14.28 X 12.54 X X X X X 11.40 X X X X X X X X X 
- X X X X X X X X X X X X X X X X X 
- X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
14.27 X X X X X X X 11.40 X X X X X 12.99 X X X 
14.28 X X X X X X X 11.36 X X X X X 13.02 X X X 
- X X X X X X X 11.48 X X X X X 13.04 X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
14.21 X X X X X X X X X X X X X X X X X 
X 12.11 X X X X X X 11.25 X X X X X 12.96 X 14.65 X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 12.21 X X X X X X X X X X X X X X X X 
X 12.12 X X X X X X X X X X X X X X X X 
X 12.17 X X X X X X X X X X X X X X X X 
X 12.13 X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 12.12 X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 12.12 X X X X X X X X X X X X X X X X 
X 12.08 X X X X X X X X X X X X X X X X 
X 12.14 X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 12.14 X X X X X X X X X X X X X X 14.59 X 
X 12.17 X X X X X X X X X X X X X X X X 
X 12.12 X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 12.13 X X X X X X X X X X X X X X X X 
X 12.17 X X X X X X X X X X X X X X X X 
X 12.10 X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 12.15 X X X X X X X X X X X X X X X X 
X 12.10 X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 12.12 X X X X X X X X X X X X X X X X 
X 12.25 X X X X X X 11.33 X X X X X X X X X 
X 12.11 X X X X X X X X X X X X X X X X 
