X 5.22 X X X 10.89 X X X 8.18 X X X X 6.08 X X X 
X 5.20 6.11 X X X X X X X X X X X 6.19 X 9.08 X 
X 5.16 6.09 X X 10.86 XX X 5.45 X X 11.55 X X X X X X 8.53 X X X X X 
X X 5.40 X X X X X X X X X X X X X X X 
X X 5.40 X X 11.65 X X X X X X X X X X X X 
X X 5.32 X X X X X X X X X 8.59 X X X X X 
X X 5.44 X X X X X X X X X X X X X X X 
X X 5.42 X X X X X X X X X X X X X X X 
X X 5.41 X X 11.56 X X X X X X X X X X X X 
X X 5.40 X X 11.52 X X X X X X X X X X X X 
X X 5.36 X X 11.59 X X X X X X X X X X X X 
X X 5.41 X X 11.55 X X X X X X X X X X X X 
X X 5.45 X X X X X X X X X 8.61 X X X X X 
X X 5.38 X X 11.59 X X X X X X 8.49 X X X X X 
X X 5.44 X X 11.49 X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X 5.41 X X 11.52 X X X X X X X X X X X X 
X X 5.43 X X 11.49 X X 7.63 X X X X X X X X X 
X 4.27 5.45 X X 11.61 X X X X X X X X X X X X 
8.58 X 5.41 X X 11.53 X X X X X X X X 5.36 X X X 
8.55 4.38 5.42 X X 11.52 X X X X X X X X - X X X 
X X 5.40 X X 11.57 X X 7.67 X X X X X 5.34 X X X 
X 4.38 5.44 X X 11.53 X X 7.65 X X X X X 5.31 X X X 
X X 5.29 X X 11.52 X X 7.65 X X X X X 5.37 X X X 
X X 5.42 X X 11.52 X X 7.58 X X X X X 5.38 X X X 
8.52 X 5.43 X X 11.56 X X 7.57 X X X X X 5.36 X 8.49 X 
8.53 X 5.44 X X 11.58 X X 7.59 X X X 8.54 X 5.32 X X X 
X X 5.45 X X X X X 7.66 X X X X X 5.38 X X X 
X 4.44 5.43 X X 11.50 X X 7.75 8.58 X X X X 5.34 X X X 
X 4.35 5.43 X X 11.56 X X X 8.63 X X X X 5.34 X X X 
X 4.40 5.39 X X 11.59 X X 7.73 X X X 8.62 X 5.40 X X X 
8.54 X 5.42 X X 11.57 X X 7.70 8.58 X X 8.54 X 5.27 X X X 
X 4.33 5.45 X X X X X X X X X 8.54 X 5.35 X X X 
X 4.37 5.37 X X X X X 7.57 X X X X X 5.35 X X X 
8.58 X 5.42 X X 11.57 X X 7.71 X X X X X 5.34 X X X 
8.53 X 5.40 X X X X X X 8.49 X X X X 5.30 X X X 
X 4.42 5.48 X X X X X 7.69 8.60 X X X X 5.32 X 8.63 X 
X 4.43 X X X 11.58 X X X 8.60 X X X X 5.31 X X X 
X X 5.42 X X X X X X 8.62 X X X X 5.30 X X X 
X X 5.42 X X X X X X X X X 8.56 X 5.34 X X X 
X X 5.47 X X X X X X 8.60 X X X X 5.29 X X X 
X X 5.44 X X 11.57 X X 7.64 X X X 8.56 X 5.31 X X X 
X 4.43 5.49 X X 11.57 X X 7.77 X X X X X 5.35 X 8.65 X 
X 4.34 5.45 X X X X X X X X X X X 5.33 X X X 
X X 5.41 X X X X X X 8.61 X X 8.58 X 5.36 X X X 
X 4.29 5.47 X X 11.64 X X 7.68 8.58 X X 8.60 X 5.34 X 8.52 X 
X 4.37 5.45 X X 11.57 X X 7.70 8.57 X X X X 5.30 X X X 
X 4.35 5.44 X X 11.53 X X 7.60 8.57 X X X X 5.33 X X X 
X 4.45 5.46 X X 11.56 X X 7.62 X X X X X 5.35 X X X 
8.55 X 5.47 X X X X X X 8.60 X X 8.52 X 5.32 X X X 
8.52 X 5.43 X X X X X 7.82 X X X X X 5.32 X X X 
X X 5.45 X X X X X 7.66 X X X 8.54 X 5.38 X X X 
8.47 X 5.44 X X 11.59 X X 7.72 8.65 X X X X 5.33 X X X 
8.50 X 5.43 X X 11.57 X X X X X X X X 5.30 X X X 
8.59 X 5.46 X X X X X 7.65 X X X X X 5.31 X X X 
X X 5.46 X X 11.60 X X 7.64 8.61 X X X X 5.33 X X X 
X X 5.43 X X 11.61 X X X X X X X X 5.35 X X X 
X X 5.45 X X X X X 7.64 X X X X X 5.34 X X X 
X X 5.38 X X 11.53 X X 7.63 X X X X X 5.34 X X X 
8.53 X 5.42 X X X X X X 8.61 X X X X 5.31 X X X 
X X 5.38 X X 11.57 X X 7.62 X X X X X 5.37 X X X 
X - 5.40 X X 11.58 X X X 8.60 X X X X 5.35 X X X 
8.42 X X X X X X X 7.68 X X X X X 5.38 X X X 
X 4.35 5.45 X X X X X X 8.60 X X 8.55 X X X X X 
X X X X X 11.54 X X X X X X X X 5.33 X X X 
X 4.34 X X X X X X 7.61 8.63 X X X X 5.33 X X X 
8.56 4.37 5.43 X X 11.54 X X X 8.59 X X X X 5.32 X X X 
X X 5.46 X X 11.56 X X X 8.57 X X 8.53 X 5.31 X X X 
8.47 X 5.42 X X X X X 7.62 8.56 X X 8.59 X 5.33 X X X 
8.55 X 5.41 X X X X X 7.68 8.64 X X X X 5.37 X X X 
X 4.45 5.43 X X 11.59 X X 7.58 X X X X X 5.33 X X X 
8.46 4.32 5.50 X X 11.50 X X 7.66 8.64 X X X X 5.32 X X X 
8.47 X 5.38 X X X X X 7.66 X X X X X 5.35 X 8.54 X 
X 4.46 X X X X X X 7.63 X X X 8.63 X 5.35 X X X 
X 4.32 X X X 11.59 X X 7.61 8.66 X X 8.52 X 5.35 X X X 
X X - X X 11.59 X X 7.65 X X X 8.54 X 5.36 X X X 
X 4.33 5.49 X X 11.59 X X 7.70 X X X X X 5.31 X X X 
X X 5.45 X X X X X 7.71 X X X 8.59 X 5.32 X X X 
X 4.31 5.48 X X X X X X 8.58 X X X X 5.39 X X X 
X X 5.45 X X X X X 7.59 X X X X X 5.35 X X X 
8.55 X 5.45 X X X X X 7.68 X X X X X 5.34 X X X 
X 4.44 5.47 X X 11.59 X X 7.69 X X X X X 5.34 X X X 
X 4.41 X X X X X X 7.64 X X X X X 5.35 X X X 
X 4.44 - X X 11.50 X X 7.68 X X X X X 5.33 X X X 
8.54 X 5.43 X X 11.55 X X 7.73 X X X X X 5.36 X X X 
8.58 X 5.44 X X X X X 7.72 X X X X X X X X X 
X X 5.46 X X 11.58 X X 7.73 X X X X X X X X X 
