7.93 X 4.31 X X 13.02 X X 7.93 9.59 X X X X 3.89 X X X 
7.83 X 4.33 X X 13.06 X X 7.78 9.51 X X X X 3.93 X 7.75 X 
X X 4.37.75 X 3.96 X X 13.74 X X 8.07 X X X X X 3.34 X X X 
X X 3.98 X X X X X X X X X X X 3.39 X X X 
7.77 X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
7.78 X 3.97 X X 13.69 X X 8.08 X X X X X 3.39 X 7.49 X 
7.76 X 3.98 X X 13.74 X X 8.04 X X X X X X X X X 
7.75 X 3.99 X X 13.74 X X X X X X X X X X X X 
- X 3.93 X X 13.69 X X 8.08 X X X X X X X X X 
7.81 X X X X X X X X X X X X X X X X X 
7.76 X 4.01 X X X X X X X X X X X X X X X 
7.77 X 3.99 X X 13.72 X X 8.07 X X X X X X X X X 
7.80 X 3.98 X X 13.68 X X 8.06 X X X X X X X X X 
7.72 X 3.98 X X X X X X X X X X X X X X X 
7.79 X 3.95 X X X X X X X X X X X X X X X 
7.84 X 4.01 X X 13.73 X X 8.06 X X X X X X X X X 
7.85 X 3.96 X X 13.73 X X 8.02 X X X X X 3.41 X X X 
7.78 X 3.97 X X 13.72 X X 8.09 X X X X X X X X X 
7.77 X 4.02 X X 13.69 X X 8.14 X X X X X X X X X 
7.75 X 3.95 X X 13.71 X X 8.03 X X X X X X X X X 
7.79 X 3.94 X X 13.73 X X 8.04 X X X X X X X X X 
7.80 X 3.98 X X 13.69 X X 8.16 X X X X X X X X X 
7.73 X 3.99 X X 13.74 X X 8.08 X X X X X 3.39 X X X 
7.72 X 4.03 X X 13.75 X X X X X X X X X X X X 
7.80 X 3.96 X X 13.69 X X 8.05 X X X X X X X X X 
7.74 X 3.97 X X 13.67 X X 8.07 X X X X X 3.37 X X X 
7.78 X 3.98 X X 13.72 X X 8.13 X X X X X 3.37 X X X 
7.76 X 3.96 X X 13.76 X X 8.05 X X X X X X X X X 
7.79 X 3.98 X X 13.70 X X 8.02 X X X X X X X X X 
7.77 X 3.96 X X 13.69 X X 8.05 X X X X X X X X X 
7.79 X 3.91 X X X X X X X X X X X X X X X 
7.84 X 3.98 X X 13.72 X X 8.03 X X X X X 3.37 X X X 
7.76 X 3.93 X X 13.69 X X X X X X X X X X X X 
7.75 X 3.97 X X 13.70 X X 8.12 X X X X X X X X X 
7.80 X 3.96 X X 13.74 X X 8.11 X X X X X X X X X 
X X X X X X 11.67 X X 10.12 X X X X 3.28 X X X 
7.75 X - X X 13.73 X X 8.04 X X X X X 3.36 X X X 
X X X X X X X X 8.04 X X X X X 3.31 X X X 
7.73 X 3.96 X X 13.69 X X 8.03 X X X X X 3.36 X 7.54 X 
7.78 X 3.97 X X 13.73 X X 8.06 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
7.72 X 3.99 X X 13.73 X X 8.05 X X X X X X X X X 
7.73 X 4.03 X X X X X X X X X X X X X X X 
7.75 X 4.03 X X 13.76 X X 8.05 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
7.79 X 3.94 X X 13.73 X X 8.07 X X X X X X X X X 
7.81 X 3.90 X X 13.71 X X 8.06 X X X X X 3.39 X X X 
7.64 X 4.04 X X 13.73 X X 8.06 X X X X X X X X X 
7.79 X 3.97 X X 13.75 X X 8.06 X X X X X 3.35 X X X 
7.78 X 4.00 X X X X X X X X X X X X X X X 
7.75 X 3.98 X X 13.69 X X 8.09 X X X X X X X X X 
7.77 X 3.99 X X X X X X X X X X X X X X X 
7.75 X 3.95 X X 13.69 X X 8.09 X X X X X X X X X 
7.78 X 3.96 X X 13.68 X X 8.04 X X X X X X X X X 
7.74 X 3.95 X X 13.66 X X 8.03 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
7.80 X 3.99 X X 13.74 X X 8.07 X X X X X 3.40 X X X 
7.85 X 3.98 X X 13.66 X X 8.03 X X X X X X X X X 
