9.45 6.11 6.79 X X 10.25 X X X 8.00 X X 8.96 X 6.95 X X X 
X X 6.70 X X X X X 7.83 X X X X X 6.93 X X X 
X X 6.78 X X 10.23 X X X X X X X X 6.97 X X X 
X X 6.80 X X 10.20 X X 7.88 X X9.02 5.18 X X X X X X X X X X X X 6.20 X X X 
8.95 5.23 X X X X X X X 8.32 X X X X 6.19 X 9.00 X 
9.01 X X X X X X X X X X X X X 6.11 X X X 
8.97 X X X X X X X 7.66 X X X X X 6.17 X X X 
X 5.13 X X X X X X 7.69 X X X X X 6.18 X X X 
8.99 X X X X X X X X X X X X X 6.17 X X X 
8.93 X X X X X X X X 8.30 X X X X 6.13 X X X 
8.90 5.12 X X X X X X X 8.37 X X 8.73 X 6.15 X X X 
8.98 X X X X X X X X 8.25 X X X X 6.19 X X X 
X X X X X X X X X X X X X X X X X X 
8.88 X X X X X X X X X X X X X X X X X 
8.99 X - X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.99 5.20 6.13 X X X X X X X X X X X X X X X 
8.94 5.22 6.08 X X X X X X X X X X X X X X X 
X 5.20 6.16 X X X X X X X X X X X X X X X 
X 5.14 6.15 X X X X X X X X X X X X X X X 
X 5.19 6.09 X X X X X X X X X X X X X X X 
X 5.12 6.09 X X X X X X X X X X X X X X X 
X X 6.18 X X X X X X X X X X X X X X X 
X 5.15 6.08 X X X X X X X X X X X X X X X 
X 5.20 6.11 X X X X X X X X X X X X X X X 
8.88 X 6.05 X X X X X X X X X X X X X X X 
9.01 X 6.09 X X X X X X X X X X X X X X X 
X 5.20 6.10 X X X X X X X X X X X X X X X 
8.93 5.11 6.09 X X X X X X X X X X X X X X X 
8.94 5.06 6.15 X X X X X X X X X X X X X X X 
9.04 5.16 6.17 X X X X X X X X X X X X X X X 
8.96 5.20 6.09 X X X X X X X X X X X X X X X 
8.98 5.19 6.14 X X X X X X X X X X X X X X X 
8.97 5.19 6.14 X X X X X X X X X X X X X X X 
9.08 X 6.08 X X X X X X X X X X X X X X X 
8.97 X 6.17 X X X X X X X X X X X X X X X 
X 5.14 6.13 X X X X X X X X X X X X X X X 
9.04 5.17 6.20 X X X X X X X X X X X X X X X 
X 5.19 6.13 X X X X X X X X X X X X X X X 
9.01 5.18 6.20 X X X X X X X X X X X X X X X 
8.90 5.15 6.15 X X X X X X 8.45 X X X X 6.14 X X X 
X 5.16 6.12 X X X X X X X X X X X 6.12 X X X 
X 5.14 6.16 X X X X X X X X X X X 6.12 X X X 
9.04 5.14 6.11 X X X X X X X X X X X 6.12 X X X 
8.95 5.16 6.14 X X 10.87 X X X X X X X X 6.14 X 9.05 X 
8.94 X 6.03 X X 10.83 X X X 8.23 X X X X 6.11 X X X 
- X 6.13 X X 10.88 X X X 8.24 X X 8.69 X 6.11 X X X 
9.05 5.20 6.13 X X X X X 7.65 X X X X X 6.11 X X X 
X 5.20 6.06 X X 10.80 X X X X X X X X 6.18 X X X 
9.00 X 6.05 X X 10.85 X X X 8.30 X X X X 6.15 X X X 
8.99 X 6.05 X X X X X X 8.29 X X X X 6.08 X X X 
9.04 X 6.07 X X 10.77 X X 7.68 X X X X X 6.13 X 9.04 X 
9.01 X 6.06 X X X X X X 8.21 X X 8.74 X 6.11 X X X 
X 5.14 6.05 X X X X X X 8.29 X X X X 6.12 X X X 
X X 6.08 X X 10.84 X X 7.71 8.32 X X 8.76 X 6.13 X X X 
X 5.26 6.08 X X X X X X 8.26 X X X X 6.05 X X X 
X 5.33 6.08 X X 10.79 X X 7.64 X X X X X 6.11 X X X 
X X X X X X X X X X X X X X 6.11 X X X 
X 5.30 6.09 X X 10.88 X X X X X X X X 6.10 X 9.06 X 
X X X X X X X X X X X X X X X X X X 
9.05 X X X X 10.86 X X X X X X X X 6.14 X X X 
9.01 X 6.07 X X X X X 7.67 X X X X X 6.11 X X X 
X 5.23 6.06 X X X X X X X X X X X X X X X 
X X 6.09 X X X X X 7.65 X X X X X 6.09 X X X 
