7.47 5.61 8.67 X X 12.46 X X 10.53 11.43 X X 6.61 X 7.77 X 11.73 X 
7.44 5.56 8.71 X X 12.48 X X 10.57 10.77 X X 6.58 X 7.71 X 11.65 X 
7.45 5.62 8.71 X X 12.39 X X 10.56 10.08 X X 6.6X 5.62 8.05 X X 11.72 X X X 9.87 X X 7.38 X X X X X 
X 5.67 8.04 X X 11.67 X X X 9.79 X X 7.43 X X X X X 
X 5.65 8.06 X X 11.67 X X X 9.69 X X 7.37 X X X X X 
X 5.63 8.07 X X 11.65 X X X 9.71 X X 7.36 X X X X X 
X 5.66 8.05 X X 11.67 X X X 9.77 X X 7.48 X X X X X 
X 5.57 8.09 X X 11.65 X X X 9.76 X X 7.43 X X X X X 
X 5.56 8.09 X X 11.72 X X X 9.74 X X 7.40 X X X X X 
X 5.62 8.08 X X 11.64 X X X 9.80 X X 7.40 X X X X X 
X 5.60 8.09 X X 11.68 X X X 9.78 X X 7.41 X X X X X 
- 5.68 8.09 X X 11.65 X X - 9.73 X X 7.42 X X X - X 
7.95 5.57 8.01 X X 11.68 X X 9.68 9.84 X X 7.42 X - X 10.98 X 
7.98 5.61 8.10 X X 11.67 X X 9.65 9.71 X X 7.41 X 7.36 X 10.93 X 
8.09 5.62 8.05 X X 11.61 X X 9.69 9.83 X X 7.40 X 7.42 X 10.99 X 
7.99 5.67 8.08 X X 11.67 X X 9.69 9.86 X X 7.41 X 7.37 X 10.97 X 
8.15 5.62 8.04 X X 11.64 X X 9.65 9.79 X X 7.42 X 7.36 X 11.03 X 
8.03 5.65 8.03 X X 11.73 X X 9.64 9.77 X X 7.42 X 7.37 X 10.98 X 
X 5.54 8.05 X X 11.70 X X 9.72 9.78 X X 7.38 X 7.36 X 10.94 X 
8.10 5.66 8.04 X X 11.68 X X 9.66 9.80 X X 7.39 X 7.36 X 10.95 X 
8.19 5.55 8.08 X X 11.67 X X 9.66 9.79 X X 7.41 X 7.39 X 10.97 X 
8.01 5.66 8.08 X X 11.69 X X 9.71 9.79 X X 7.44 X 7.34 X 11.01 X 
8.07 5.54 8.04 X X 11.61 X X 9.67 9.86 X X 7.35 X 7.37 X 11.06 X 
8.09 5.66 8.07 X X 11.70 X X 9.68 9.88 X X 7.42 X 7.35 X 10.95 X 
8.03 5.62 8.09 X X 11.65 X X 9.67 9.83 X X 7.38 X 7.39 X 10.95 X 
8.06 5.69 8.07 X X 11.66 X X 9.62 9.83 X X 7.45 X 7.42 X 10.95 X 
X X 8.07 X X 11.67 X X X 9.81 X X 7.47 X 7.35 X X X 
X 5.61 X X X 11.64 X X 9.71 X X X 7.40 X 7.38 X 11.05 X 
X 5.65 X X X 11.67 X X 9.70 X X X 7.42 X 7.42 X 11.02 X 
X 5.59 X X X 11.64 X X 9.71 X X X 7.40 X 7.41 X 11.02 X 
X X X X X X X X X X X X X X X X X X 
8.06 X X X X X X X X X X X 7.42 X 7.39 X X X 
X X X X X X X X X X X X X X X X X X 
X 5.63 X X X 11.76 X X 9.70 X X X 7.56 X 7.48 X 11.16 X 
X X 7.99 X X 11.65 X X 9.68 X X X 7.43 X 7.40 X 10.95 X 
X 5.71 X X X X X X 9.68 X X X 7.38 X 7.37 X 10.98 X 
X 5.63 X X X 11.68 X X 9.71 X X X 7.39 X 7.38 X 10.97 X 
8.05 X 7.99 X X 11.64 X X 9.64 X X X 7.39 X 7.32 X 10.94 X 
8.18 X 7.99 X X 11.65 X X - X X X 7.41 X 7.36 X 10.98 X 
8.05 X 8.05 X X 11.66 X X 9.64 X X X 7.37 X 7.36 X 10.98 X 
8.11 X 8.11 X X 11.70 X X 9.68 X X X 7.46 X 7.38 X 10.97 X 
X 5.64 X X X 11.67 X X X 9.70 X X 7.37 X X X X X 
X 5.64 X X X 11.64 X X 9.69 X X X 7.40 X X X 11.05 X 
X 5.60 X X X 11.65 X X 9.66 X X X 7.39 X 7.38 X X X 
X 5.65 X X X 11.65 X X 9.68 X X X 7.45 X 7.37 X 10.96 X 
- X 8.04 X X 11.69 X X 9.70 X X X 7.37 X 7.35 X 10.99 X 
8.11 X 8.01 X X 11.69 X X 9.70 X X X 7.46 X 7.33 X 11.01 X 
7.98 X 8.06 X X 11.68 X X 9.71 X X X 7.45 X 7.38 X 11.00 X 
8.12 X 8.00 X X 11.70 X X 9.67 X X X 7.41 X 7.34 X 10.92 X 
8.21 X X X X 11.87 X X X - X X 7.69 X 7.55 X - X 
X X X X X 11.64 X X X X X X X X X X X X 
8.06 X X X X 11.66 X X 9.63 X X X 7.39 X 7.36 X 10.99 X 
X X X X X X X X X X X X X X X X X X 
8.08 X X X X 11.66 X X 9.69 X X X 7.42 X 7.40 X 11.00 X 
8.01 X X X X 11.68 X X 9.70 X X X 7.37 X 7.38 X 11.01 X 
8.05 X X X X 11.61 X X 9.65 X X X 7.43 X 7.36 X 10.97 X 
7.99 X X X X 11.68 X X 9.67 X X X 7.42 X 7.38 X 10.92 X 
8.01 X X X X 11.68 X X 9.67 X X X 7.40 X 7.35 X 10.97 X 
8.03 X X X X 11.72 X X 9.72 X X X 7.38 X 7.36 X 11.04 X 
- X X X X - X X - X X X - X - X - X 
8.01 X X X X 11.69 X X 9.71 X X X 7.37 X 7.40 X 10.93 X 
8.06 X X X X 11.68 X X 9.68 X X X 7.37 X 7.35 X 11.00 X 
8.03 X X X X 11.71 X X 9.68 X X X 7.35 X 7.34 X 10.98 X 
8.03 X X X X 11.64 X X 9.69 X X X 7.43 X 7.43 X 10.96 X 
8.09 X X X X 11.66 X X 9.72 X X X 7.39 X 7.41 X 10.98 X 
8.13 X X X X 11.70 X X 9.69 X X X 7.37 X 7.38 X 10.98 X 
8.11 X X X X 11.72 X X 9.66 X X X 7.40 X 7.36 X 10.97 X 
8.06 X X X X 11.65 X X 9.68 X X X 7.36 X 7.35 X 10.95 X 
8.06 X X X X 11.67 X X 9.65 X X X 7.39 X 7.33 X 10.99 X 
7.99 X X X X 11.68 X X 9.67 X X X 7.44 X 7.38 X 10.99 X 
8.02 X X X X 11.70 X X 9.68 X X X 7.42 X 7.33 X 10.99 X 
8.09 X - X X 11.67 X X 9.67 X X X 7.36 X 7.35 X 10.94 X 
8.00 X 8.07 X X 11.66 X X 9.70 X X X 7.38 X 7.36 X 10.97 X 
8.04 X 8.04 X X 11.66 X X 9.65 X X X 7.40 X 7.37 X 10.97 X 
8.09 X 8.07 X X 11.71 X X 9.66 X X X 7.38 X 7.36 X 10.97 X 
8.04 X 8.02 X X 11.68 X X 9.70 X X X 7.41 X 7.35 X 10.97 X 
8.03 X 8.03 X X 11.69 X X 9.64 X X X 7.41 X 7.33 X 10.96 X 
8.11 X 8.04 X X 11.64 X X 9.70 X X X 7.35 X 7.37 X 11.02 X 
X X X X X X X X X X X X X X X X X X 
8.02 X 7.95 X X 11.71 X X 9.71 X X X 7.39 X 7.36 X 10.98 X 
8.11 X 8.08 X X 11.65 X X 9.66 X X X 7.40 X 7.39 X 11.00 X 
