8.11 X 8.07 X X 11.69 X X 9.71 X X X 7.38 X 7.39 X 10.98 X 
8.09 X 8.01 X X - X X 9.69 X X X 7.40 X 7.35 X 10.95 X 
8.08 XX X X X X X X X X X X X X X X X X X 
8.73 X 7.37 X X 10.90 X X 8.90 X X X X X X X X X 
8.84 X 7.33 X X 10.92 X X 8.83 X X X X X X X X X 
X 5.75 X X X 10.94 X X 8.78 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.75 X 7.42 X X 10.94 X X 8.81 X X X X X X X X X 
8.81 X 7.36 X X 10.88 X X 8.81 X X X X X X X X X 
8.83 X 7.38 X X 10.92 X X 8.79 X X X 8.17 X 7.11 X X X 
8.85 X 7.41 X X 10.94 X X 8.77 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.79 X 7.39 X X 10.95 X X 8.74 X X X 8.17 X 7.05 X X X 
8.85 X 7.41 X X X X X X X X X X X X X X X 
8.85 X X X X 10.94 X X 8.83 X X X X X X X X X 
8.82 X X X X 10.92 X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.86 X X X X 10.94 X X 8.81 X X X 8.14 X X X X X 
8.82 X X X X 10.85 X X 8.88 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.81 X X X X - X X 8.78 X X X X X X X X X 
X 5.69 X X X 10.90 X X 8.76 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.77 X 7.30 X X 10.92 X X X X X X X X X X X X 
8.87 X 7.37 X X X X X 8.79 X X X 8.13 X 7.07 X X X 
X X X X X X X X X X X X X X X X X X 
8.82 X 7.35 X X 10.87 X X 8.74 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.75 X 7.32 X X 10.94 X X 8.76 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.77 X 7.35 X X 10.96 X X 8.79 X X X 8.13 X X X X X 
8.80 X 7.32 X X 10.97 X X 8.75 X X X X X X X X X 
8.77 X 7.35 X X 10.94 X X 8.77 X X X X X X X X X 
X 5.67 X X X 10.90 X X 8.83 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.83 X 7.33 X X X X X X X X X X X X X X X 
- X 7.38 X X 10.98 X X 8.85 X X X X X X X X X 
8.81 X 7.37 X X 10.94 X X 8.84 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.82 X 7.34 X X 10.90 X X 8.80 X X X 8.22 X 7.11 X X X 
8.80 X 7.44 X X 10.95 X X 8.82 X X X X X X X X X 
8.89 X 7.34 X X 10.95 X X 8.79 X X X X X X X X X 
8.86 X 7.38 X X 10.91 X X 8.76 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 5.74 X X X 10.97 X X 8.84 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.80 X 7.40 X X 10.95 X X 8.79 X X X X X X X X X 
8.84 X 7.42 X X 10.96 X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 5.69 X X X 10.93 X X 8.77 X X X 8.21 X 7.15 X 10.30 X 
8.76 X 7.31 X X 10.93 X X 8.77 X X X X X X X X X 
8.71 X 7.31 X X 10.96 X X 8.76 X X X 8.19 X 7.06 X X X 
8.79 X 7.32 X X 10.91 X X 8.83 X X X 8.14 X 7.08 X 10.29 X 
8.73 X 7.43 X X 10.96 X X 8.84 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X 8.89 X X X X X X X X 
X X X X X X X X X 8.79 X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X 8.91 X X X X X X X X 
X X X X X X X X X 8.87 X X X X X X X X 
X X X X X X X X X 8.81 X X X X X X X X 
X X X X X X X X X 8.86 X X X X 7.17 X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X 8.79 X X X X 7.13 X X X 
X X X X X X X X X 8.84 X X X X X X X X 
X X X X X X X X X 8.88 X X X X 7.14 X X X 
X X X X X X X X X 9.31 X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X 8.77 X X X X 7.06 X X X 
X X X X X X X X X 8.85 X X X X 7.10 X X X 
X X X X X X X X X 8.87 X X X X 7.11 X X X 
X X X X X X X X X 8.88 X X X X X X X X 
X X X X X X X X X 8.87 X X X X 7.05 X X X 
X X X X X X X X X 8.83 X X X X 7.07 X X X 
X X X X X X X X X 8.86 X X X X 7.03 X X X 
X X X X X X X X X 8.88 X X X X 7.08 X X X 
X X X X X X X X X 8.82 X X X X 7.04 X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X 8.84 X X X X 7.05 X X X 
X X X X X X X X X 8.79 X X X X 7.13 X X X 
X X X X X X X X X 8.84 X X X X 7.08 X X X 
X X X X X X X X X X X X X X X X X X 
- X X X X X X X X 8.81 X X 8.09 X X X X X 
9.03 X 7.36 X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X - X X X 10.90 X X 8.76 X X X 8.13 X 7.10 X 10.23 X 
8.38 X 7.39 X X 10.88 X X 8.74 X X X 8.22 X 7.10 X X X 
8.71 X 7.43 X X 10.93 X X 8.81 X X X 8.15 X X X X X 
X X X X X X X X X X X X X X X X X X 
9.16 X 7.38 X X 10.90 X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 5.71 X X X 10.91 X X 8.70 X X X X X X X X X 
