X 5.92 6.66 X X 10.33 X X X 7.87 X X 9.10 X 6.82 X X X 
9.46 5.91 6.64 X X 10.26 X X X 7.89 X X X X 6.88 X X X 
X 5.90 6.610.24 6.49 6.21 X X 9.61 X X 7.01 6.97 X X X X 6.70 X X X 
10.28 6.42 6.25 X X 9.57 X X 7.03 7.03 X X X X X X X X 
- 6.42 6.31 X X 9.53 X X 7.04 7.10 X X 9.83 X 6.63 X X X 
X 6.45 6.38 X X 9.54 X X 6.98 7.05 X X X X 6.76 X 9.02 X 
10.34 6.38 6.23 X X 9.55 X X 7.01 7.03 X X 9.92 X 6.77 X 8.98 X 
X 6.43 6.27 X X 9.54 X X 6.99 6.95 X X X X X X X X 
X 6.40 6.32 X X 9.56 X X 7.03 7.08 X X X X 6.83 X X X 
10.33 6.45 6.25 X X X X X 7.03 7.02 X X X X 6.77 X 9.00 X 
10.34 6.43 6.23 X X 9.58 X X 7.01 7.10 X X X X 6.82 X 8.94 X 
X 6.50 6.28 X X 9.55 X X 6.97 7.00 X X X X X X X X 
10.28 6.34 X X X 9.56 X X 7.05 7.01 X X 9.80 X 6.82 X X X 
X 6.47 6.28 X X 9.57 X X 7.01 7.01 X X 9.81 X X X 9.01 X 
10.34 6.39 6.33 X X 9.57 X X 7.06 7.00 X X X X 6.81 X X X 
10.37 6.40 6.28 X X 9.61 X X 6.97 7.00 X X X X X X X X 
X 6.42 6.35 X X 9.53 X X 7.00 6.96 X X X X 6.85 X X X 
X 6.50 6.28 X X 9.59 X X 7.00 7.00 X X X X 6.89 X 8.97 X 
10.33 X X X X 9.55 X X 6.96 X X X 9.84 X 6.70 X 8.92 X 
X 6.43 6.24 X X 9.59 X X 7.00 6.97 X X X X X X X X 
X 6.43 6.28 X X 9.60 X X 6.98 7.05 X X X X 6.85 X X X 
X 6.43 6.29 X X 9.56 7.06 X 6.98 7.00 X X X X 6.75 X X X 
X 6.40 6.28 X X 9.54 X X 7.00 6.96 X X 9.81 X 6.66 X 8.92 X 
X 6.42 6.26 X X 9.57 7.09 X 7.02 7.00 X X X X 6.77 X X X 
X 6.46 6.30 X X 9.53 X X 6.97 6.96 X X 9.86 X 6.75 X 9.01 X 
10.26 X 6.32 X X 9.55 7.07 X 7.01 6.97 X X X X X X 9.05 X 
X 6.44 6.36 X X 9.56 7.09 X 6.98 7.01 X X X X 6.75 X 8.91 X 
10.32 6.48 6.31 X X 9.59 7.09 X 7.01 6.91 X X 9.86 X X X 8.94 X 
10.44 6.46 6.33 X X 9.55 7.08 X 7.00 X X X X X 6.70 X 8.94 X 
10.26 6.46 6.31 X X 9.58 7.09 X 7.00 7.07 X X X X X X X X 
10.51 6.41 6.20 X X 9.59 7.08 X 7.04 6.99 X X X X 6.79 X 8.99 X 
10.35 6.53 6.25 X X 9.55 X X 6.98 7.05 X X X X X X X X 
X 6.41 6.38 X X 9.63 7.08 X 7.01 7.01 X X X X 6.67 X 8.97 X 
- 6.47 6.38 X X 9.59 7.09 X 6.97 7.00 X X X X 6.73 X 8.89 X 
