Format Version,1.1,Take Name,Take 2016-04-07 08.32.07 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 08.32.07.811 PM,Total Frames,2981,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10000,Marker_10000,Marker_10000,Marker_10002,Marker_10002,Marker_10002
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702712","8392B20CF49E35702712","8392B20CF49E35702712"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-2.093821,1.411558,2.801533,,,
1,0.008333,-2.093809,1.411570,2.801589,,,
2,0.016667,-2.093781,1.411550,2.801596,,,
3,0.025000,-2.093846,1.411590,2.801554,,,
4,0.033333,-2.093731,1.411465,2.801638,,,
5,0.041667,-2.093792,1.411559,2.801557,,,
6,0.050000,-2.093807,1.411566,2.801590,,,
7,0.058333,-2.093745,1.411492,2.801556,,,
8,0.066667,-2.093744,1.411587,2.801591,,,
9,0.075000,-2.093819,1.411580,2.801563,,,
10,0.083333,-2.093773,1.411530,2.801554,,,
11,0.091667,-2.093708,1.411554,2.801595,,,
12,0.100000,-2.093755,1.411610,2.801602,,,
13,0.108333,-2.093816,1.411599,2.801529,,,
14,0.116667,-2.093773,1.411569,2.801595,,,
15,0.125000,-2.093845,1.411563,2.801577,,,
16,0.133333,-2.093797,1.411492,2.801534,,,
17,0.141667,-2.093780,1.411543,2.801546,,,
18,0.150000,-2.093704,1.411452,2.801561,,,
19,0.158333,-2.093807,1.411532,2.801553,,,
20,0.166667,-2.093784,1.411531,2.801541,,,
21,0.175000,-2.093782,1.411580,2.801526,,,
22,0.183333,-2.093853,1.411612,2.801566,,,
23,0.191667,-2.093728,1.411624,2.801670,,,
24,0.200000,-2.093804,1.411633,2.801593,,,
25,0.208333,-2.093807,1.411565,2.801588,,,
26,0.216667,-2.093789,1.411581,2.801539,,,
27,0.225000,-2.093843,1.411599,2.801536,,,
28,0.233333,-2.093822,1.411598,2.801595,,,
29,0.241667,-2.093773,1.411551,2.801658,,,
30,0.250000,-2.093850,1.411627,2.801610,,,
31,0.258333,-2.093819,1.411629,2.801504,,,
32,0.266667,-2.093839,1.411648,2.801618,,,
33,0.275000,-2.093795,1.411605,2.801569,,,
34,0.283333,-2.093773,1.411600,2.801567,,,
35,0.291667,-2.093736,1.411602,2.801591,,,
36,0.300000,-2.093798,1.411581,2.801650,,,
37,0.308333,-2.093863,1.411618,2.801497,,,
38,0.316667,-2.093776,1.411651,2.801526,,,
39,0.325000,-2.093790,1.411605,2.801598,,,
40,0.333333,-2.093808,1.411618,2.801564,,,
41,0.341667,-2.093864,1.411646,2.801595,,,
42,0.350000,-2.093851,1.411629,2.801443,,,
43,0.358333,-2.093802,1.411577,2.801623,,,
44,0.366667,-2.093750,1.411676,2.801597,,,
45,0.375000,-2.093881,1.411714,2.801577,,,
46,0.383333,-2.093762,1.411541,2.801589,,,
47,0.391667,-2.093751,1.411561,2.801574,,,
48,0.400000,-2.093805,1.411579,2.801564,,,
49,0.408333,-2.093800,1.411627,2.801534,,,
50,0.416667,-2.093813,1.411572,2.801606,,,
51,0.425000,-2.093781,1.411538,2.801571,,,
52,0.433333,-2.093707,1.411585,2.801634,,,
53,0.441667,-2.093774,1.411551,2.801555,,,
54,0.450000,-2.093766,1.411607,2.801565,,,
55,0.458333,-2.093798,1.411577,2.801579,,,
56,0.466667,-2.093700,1.411559,2.801580,,,
57,0.475000,-2.093694,1.411538,2.801529,,,
58,0.483333,-2.093714,1.411571,2.801575,,,
59,0.491667,-2.093683,1.411555,2.801610,,,
60,0.500000,-2.093734,1.411542,2.801638,,,
61,0.508333,-2.093744,1.411583,2.801620,,,
62,0.516667,-2.093825,1.411586,2.801588,,,
63,0.525000,-2.093786,1.411622,2.801605,,,
64,0.533333,-2.093780,1.411560,2.801563,,,
65,0.541667,-2.093788,1.411658,2.801594,,,
66,0.550000,-2.093824,1.411555,2.801580,,,
67,0.558333,-2.093873,1.411628,2.801523,,,
68,0.566667,-2.093690,1.411511,2.801614,,,
69,0.575000,-2.093827,1.411546,2.801603,,,
70,0.583333,-2.093805,1.411579,2.801584,,,
71,0.591667,-2.093725,1.411551,2.801635,,,
72,0.600000,-2.093811,1.411549,2.801558,,,
73,0.608333,-2.093701,1.411549,2.801668,,,
74,0.616667,-2.093809,1.411592,2.801547,,,
75,0.625000,-2.093853,1.411515,2.801461,,,
76,0.633333,-2.093704,1.411551,2.801640,,,
77,0.641667,-2.093654,1.411509,2.801625,,,
78,0.650000,-2.093799,1.411531,2.801548,,,
79,0.658333,-2.093795,1.411636,2.801550,,,
80,0.666667,-2.093779,1.411589,2.801518,,,
81,0.675000,-2.093739,1.411547,2.801637,,,
82,0.683333,-2.093867,1.411607,2.801494,,,
83,0.691667,-2.093907,1.411676,2.801504,,,
84,0.700000,-2.093759,1.411602,2.801632,,,
85,0.708333,-2.093803,1.411616,2.801589,,,
86,0.716667,-2.093779,1.411628,2.801620,,,
87,0.725000,-2.093758,1.411588,2.801615,,,
88,0.733333,-2.093753,1.411631,2.801679,,,
89,0.741667,-2.093698,1.411524,2.801570,,,
90,0.750000,-2.093821,1.411566,2.801560,,,
91,0.758333,-2.093804,1.411565,2.801580,,,
92,0.766667,-2.093789,1.411579,2.801604,,,
93,0.775000,-2.093731,1.411686,2.801608,,,
94,0.783333,-2.093820,1.411602,2.801553,,,
95,0.791667,-2.093789,1.411559,2.801554,,,
96,0.800000,-2.093791,1.411667,2.801548,,,
97,0.808333,-2.093797,1.411563,2.801564,,,
98,0.816667,-2.093784,1.411583,2.801615,,,
99,0.825000,-2.093748,1.411624,2.801661,,,
100,0.833333,-2.093699,1.411499,2.801595,,,
101,0.841667,-2.093818,1.411592,2.801612,,,
102,0.850000,-2.093822,1.411593,2.801550,,,
103,0.858333,-2.093713,1.411598,2.801573,,,
104,0.866667,-2.093734,1.411520,2.801606,,,
105,0.875000,-2.093707,1.411532,2.801588,,,
106,0.883333,-2.093797,1.411607,2.801504,,,
107,0.891667,-2.093783,1.411593,2.801539,,,
108,0.900000,-2.093772,1.411547,2.801613,,,
109,0.908333,-2.093808,1.411595,2.801620,,,
110,0.916667,-2.093850,1.411608,2.801623,,,
111,0.925000,-2.093817,1.411634,2.801596,,,
112,0.933333,-2.093827,1.411606,2.801584,,,
113,0.941667,-2.093806,1.411606,2.801630,,,
114,0.950000,-2.093728,1.411599,2.801594,,,
115,0.958333,-2.093768,1.411662,2.801610,,,
116,0.966667,-2.093734,1.411521,2.801675,,,
117,0.975000,-2.093781,1.411590,2.801529,,,
118,0.983333,-2.093715,1.411542,2.801558,,,
119,0.991667,-2.093751,1.411490,2.801622,,,
120,1.000000,-2.093851,1.411568,2.801594,,,
121,1.008333,-2.093802,1.411551,2.801620,,,
122,1.016667,-2.093720,1.411474,2.801599,,,
123,1.025000,-2.093797,1.411456,2.801615,,,
124,1.033333,-2.093760,1.411559,2.801606,,,
125,1.041667,-2.093741,1.411501,2.801569,,,
126,1.050000,-2.093691,1.411494,2.801676,,,
127,1.058333,-2.093628,1.411508,2.801648,,,
128,1.066667,-2.093702,1.411499,2.801612,,,
129,1.075000,-2.093744,1.411503,2.801618,,,
130,1.083333,-2.093703,1.411592,2.801572,,,
131,1.091667,-2.093697,1.411422,2.801612,,,
132,1.100000,-2.093796,1.411539,2.801566,,,
133,1.108333,-2.093832,1.411547,2.801605,,,
134,1.116667,-2.093791,1.411540,2.801543,,,
135,1.125000,-2.093809,1.411627,2.801570,,,
136,1.133333,-2.093781,1.411631,2.801564,,,
137,1.141667,-2.093851,1.411560,2.801496,,,
138,1.150000,-2.093894,1.411641,2.801571,,,
139,1.158333,-2.093886,1.411648,2.801569,,,
140,1.166667,-2.093854,1.411572,2.801567,,,
141,1.175000,-2.093764,1.411509,2.801603,,,
142,1.183333,-2.093853,1.411518,2.801444,,,
143,1.191667,-2.093759,1.411522,2.801485,,,
144,1.200000,-2.093828,1.411626,2.801531,,,
145,1.208333,-2.093814,1.411568,2.801482,,,
146,1.216667,-2.093851,1.411567,2.801525,,,
147,1.225000,-2.093748,1.411584,2.801604,,,
148,1.233333,-2.093712,1.411529,2.801670,,,
149,1.241667,-2.093787,1.411517,2.801560,,,
150,1.250000,-2.093795,1.411547,2.801600,,,
151,1.258333,-2.093871,1.411560,2.801490,,,
152,1.266667,-2.093831,1.411598,2.801521,,,
153,1.275000,-2.093809,1.411574,2.801586,,,
154,1.283333,-2.093801,1.411619,2.801508,,,
155,1.291667,-2.093798,1.411612,2.801563,,,
156,1.300000,-2.093702,1.411596,2.801584,,,
157,1.308333,-2.093709,1.411524,2.801609,,,
158,1.316667,-2.093808,1.411555,2.801554,,,
159,1.325000,-2.093809,1.411557,2.801569,,,
160,1.333333,-2.093668,1.411571,2.801662,,,
161,1.341667,-2.093791,1.411572,2.801476,,,
162,1.350000,-2.093718,1.411514,2.801625,,,
163,1.358333,-2.093839,1.411650,2.801563,,,
