Format Version,1.1,Take Name,Take 2016-04-06 08.06.07 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-06 08.06.07.168 PM,Total Frames,2810,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker_10302,Marker_10302,Marker_10302
,,"8392B20CF49E3570283E","8392B20CF49E3570283E","8392B20CF49E3570283E"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,-3.410486,1.415261,3.989416
1,0.008333,-3.410558,1.415276,3.989463
2,0.016667,-3.410582,1.415177,3.989356
3,0.025000,-3.410606,1.415183,3.989373
4,0.033333,-3.410565,1.415208,3.989440
5,0.041667,-3.410599,1.415239,3.989459
6,0.050000,-3.410579,1.415257,3.989440
7,0.058333,-3.410591,1.415270,3.989386
8,0.066667,-3.410608,1.415347,3.989489
9,0.075000,-3.410606,1.415304,3.989454
10,0.083333,-3.410610,1.415360,3.989456
11,0.091667,-3.410588,1.415312,3.989470
12,0.100000,-3.410578,1.415296,3.989476
13,0.108333,-3.410522,1.415326,3.989442
14,0.116667,-3.410573,1.415310,3.989506
15,0.125000,-3.410563,1.415197,3.989372
16,0.133333,-3.410577,1.415338,3.989475
17,0.141667,-3.410509,1.415374,3.989489
18,0.150000,-3.410603,1.415327,3.989501
19,0.158333,-3.410542,1.415480,3.989616
20,0.166667,-3.410563,1.415486,3.989561
21,0.175000,-3.410576,1.415479,3.989537
22,0.183333,-3.410581,1.415500,3.989630
23,0.191667,-3.410628,1.415527,3.989610
24,0.200000,-3.410596,1.415444,3.989535
25,0.208333,-3.410617,1.415265,3.989428
26,0.216667,-3.410595,1.415374,3.989552
27,0.225000,-3.410523,1.415459,3.989569
28,0.233333,-3.410637,1.415398,3.989532
29,0.241667,-3.410531,1.415506,3.989599
30,0.250000,-3.410565,1.415403,3.989538
31,0.258333,-3.410576,1.415469,3.989598
32,0.266667,-3.410468,1.415417,3.989550
33,0.275000,-3.410564,1.415309,3.989485
34,0.283333,-3.410525,1.415332,3.989474
35,0.291667,-3.410554,1.415389,3.989501
36,0.300000,-3.410524,1.415359,3.989483
37,0.308333,-3.410530,1.415332,3.989465
38,0.316667,-3.410551,1.415360,3.989475
39,0.325000,-3.410565,1.415388,3.989506
40,0.333333,-3.410623,1.415244,3.989405
41,0.341667,-3.410590,1.415393,3.989564
42,0.350000,-3.410529,1.415434,3.989524
43,0.358333,-3.410572,1.415354,3.989523
44,0.366667,-3.410533,1.415346,3.989454
