Format Version,1.1,Take Name,Take 2016-04-06 08.07.11 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-06 08.07.11.120 PM,Total Frames,3226,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10302,Marker_10302,Marker_10302,Marker_10310,Marker_10310,Marker_10310
,,"8392B20CF49E3570283E","8392B20CF49E3570283E","8392B20CF49E3570283E","8392B20CF49E35702846","8392B20CF49E35702846","8392B20CF49E35702846"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-2.943249,1.423211,0.307976,,,
1,0.008333,-2.943271,1.423115,0.307947,,,
2,0.016667,-2.943262,1.423175,0.307986,,,
3,0.025000,-2.943253,1.423098,0.307942,,,
4,0.033333,-2.943239,1.423146,0.307996,,,
5,0.041667,-2.943294,1.423204,0.307920,,,
6,0.050000,-2.943208,1.423064,0.307996,,,
7,0.058333,-2.943298,1.423122,0.308018,,,
8,0.066667,-2.943201,1.423097,0.307937,,,
9,0.075000,-2.943298,1.423181,0.307913,,,
10,0.083333,-2.943224,1.423187,0.307978,,,
11,0.091667,-2.943175,1.423152,0.307956,,,
12,0.100000,-2.943205,1.423157,0.307987,,,
13,0.108333,-2.943191,1.423136,0.307959,,,
14,0.116667,-2.943247,1.423160,0.307869,,,
15,0.125000,-2.943181,1.423148,0.307988,,,
16,0.133333,-2.943176,1.423140,0.307974,,,
17,0.141667,-2.943235,1.423165,0.307937,,,
18,0.150000,-2.943188,1.423145,0.307968,,,
19,0.158333,-2.943209,1.423138,0.307958,,,
20,0.166667,-2.943226,1.423143,0.307937,,,
21,0.175000,-2.943184,1.423140,0.308026,,,
22,0.183333,-2.943242,1.423106,0.307958,,,
23,0.191667,-2.943220,1.423141,0.308046,,,
24,0.200000,-2.943274,1.423180,0.307962,,,
25,0.208333,-2.943199,1.423104,0.308021,,,
26,0.216667,-2.943184,1.423129,0.307944,,,
27,0.225000,-2.943222,1.423148,0.308013,,,
28,0.233333,-2.943246,1.423218,0.308007,,,
29,0.241667,-2.943239,1.423114,0.307995,,,
30,0.250000,-2.943254,1.423160,0.308020,,,
31,0.258333,-2.943232,1.423202,0.308017,,,
32,0.266667,-2.943223,1.423119,0.307976,,,
33,0.275000,-2.943238,1.423157,0.308005,,,
34,0.283333,-2.943185,1.423129,0.308006,,,
35,0.291667,-2.943199,1.423157,0.307952,,,
36,0.300000,-2.943274,1.423191,0.307944,,,
37,0.308333,-2.943190,1.423120,0.307997,,,
38,0.316667,-2.943229,1.423173,0.307941,,,
39,0.325000,-2.943299,1.423127,0.307965,,,
40,0.333333,-2.943244,1.423175,0.307994,,,
41,0.341667,-2.943276,1.423226,0.307982,,,
42,0.350000,-2.943257,1.423157,0.308007,,,
43,0.358333,-2.943254,1.423143,0.307982,,,
44,0.366667,-2.943286,1.423134,0.307939,,,
45,0.375000,-2.943235,1.423106,0.308018,,,
46,0.383333,-2.943227,1.423186,0.307969,,,
47,0.391667,-2.943288,1.423204,0.307981,,,
48,0.400000,-2.943325,1.423205,0.307954,,,
49,0.408333,-2.943271,1.423203,0.307974,,,
50,0.416667,-2.943200,1.423164,0.307986,,,
51,0.425000,-2.943230,1.423118,0.307983,,,
52,0.433333,-2.943270,1.423166,0.307989,,,
53,0.441667,-2.943268,1.423097,0.307987,,,
54,0.450000,-2.943225,1.423179,0.307980,,,
55,0.458333,-2.943273,1.423120,0.307951,,,
56,0.466667,-2.943287,1.423253,0.307974,,,
57,0.475000,-2.943303,1.423177,0.307946,,,
58,0.483333,-2.943232,1.423161,0.308035,,,
59,0.491667,-2.943185,1.423154,0.308024,,,
60,0.500000,-2.943263,1.423182,0.307996,,,
61,0.508333,-2.943233,1.423153,0.308012,,,
62,0.516667,-2.943254,1.423167,0.307998,,,
63,0.525000,-2.943246,1.423080,0.308035,,,
64,0.533333,-2.943262,1.423164,0.307975,,,
65,0.541667,-2.943253,1.423087,0.307908,,,
66,0.550000,-2.943278,1.423235,0.308009,,,
67,0.558333,-2.943298,1.423166,0.307946,,,
68,0.566667,-2.943305,1.423175,0.307971,,,
69,0.575000,-2.943295,1.423153,0.308040,,,
70,0.583333,-2.943266,1.423169,0.307931,,,
71,0.591667,-2.943269,1.423143,0.307995,,,
72,0.600000,-2.943317,1.423239,0.307934,,,
73,0.608333,-2.943206,1.423126,0.308035,,,
74,0.616667,-2.943274,1.423179,0.308013,,,
75,0.625000,-2.943197,1.423130,0.307981,,,
76,0.633333,-2.943256,1.423137,0.307947,,,
77,0.641667,-2.943217,1.423124,0.308007,,,
78,0.650000,-2.943292,1.423168,0.307951,,,
79,0.658333,-2.943270,1.423210,0.308006,,,
80,0.666667,-2.943187,1.423205,0.308011,,,
81,0.675000,-2.943268,1.423162,0.307939,,,
82,0.683333,-2.943303,1.423198,0.307939,,,
83,0.691667,-2.943250,1.423103,0.307961,,,
84,0.700000,-2.943271,1.423126,0.307967,,,
85,0.708333,-2.943285,1.423101,0.307925,,,
86,0.716667,-2.943241,1.423167,0.307976,,,
87,0.725000,-2.943214,1.423156,0.307944,,,
88,0.733333,-2.943293,1.423166,0.307942,,,
89,0.741667,-2.943203,1.423149,0.307984,,,
90,0.750000,-2.943272,1.423139,0.308004,,,
91,0.758333,-2.943215,1.423083,0.308016,,,
92,0.766667,-2.943260,1.423203,0.307987,,,
93,0.775000,-2.943280,1.423148,0.307965,,,
94,0.783333,-2.943235,1.423152,0.307966,,,
95,0.791667,-2.943260,1.423118,0.307929,,,
96,0.800000,-2.943224,1.423137,0.307959,,,
97,0.808333,-2.943283,1.423156,0.307911,,,
98,0.816667,-2.943290,1.423122,0.307917,,,
99,0.825000,-2.943213,1.423125,0.307996,,,
100,0.833333,-2.943214,1.423163,0.308026,,,
101,0.841667,-2.943211,1.423070,0.307957,,,
102,0.850000,-2.943242,1.423140,0.307972,,,
103,0.858333,-2.943307,1.423177,0.307975,,,
104,0.866667,-2.943202,1.423150,0.308010,,,
105,0.875000,-2.943212,1.423117,0.307972,,,
106,0.883333,-2.943312,1.423151,0.307922,,,
107,0.891667,-2.943266,1.423131,0.307955,,,
108,0.900000,-2.943267,1.423159,0.307909,,,
109,0.908333,-2.943233,1.423230,0.307988,,,
110,0.916667,-2.943271,1.423193,0.308010,,,
111,0.925000,-2.943289,1.423193,0.308008,,,
112,0.933333,-2.943239,1.423138,0.307988,,,
113,0.941667,-2.943242,1.423123,0.308010,,,
114,0.950000,-2.943248,1.423155,0.307965,,,
115,0.958333,-2.943263,1.423211,0.308039,,,
116,0.966667,-2.943252,1.423128,0.307907,,,
117,0.975000,-2.943260,1.423148,0.307965,,,
118,0.983333,-2.943296,1.423236,0.308014,,,
119,0.991667,-2.943304,1.423199,0.308021,,,
120,1.000000,-2.943344,1.423182,0.307956,,,
121,1.008333,-2.943334,1.423189,0.307997,,,
122,1.016667,-2.943273,1.423199,0.307965,,,
123,1.025000,-2.943199,1.423109,0.308015,,,
124,1.033333,-2.943217,1.423113,0.307980,,,
125,1.041667,-2.943222,1.423123,0.307976,,,
126,1.050000,-2.943201,1.423178,0.307980,,,
127,1.058333,-2.943231,1.423157,0.307944,,,
128,1.066667,-2.943229,1.423148,0.307910,,,
129,1.075000,-2.943254,1.423120,0.307944,,,
130,1.083333,-2.943240,1.423163,0.307965,,,
131,1.091667,-2.943243,1.423188,0.308020,,,
132,1.100000,-2.943248,1.423183,0.308018,,,
133,1.108333,-2.943246,1.423206,0.307940,,,
134,1.116667,-2.943261,1.423129,0.308008,,,
135,1.125000,-2.943286,1.423195,0.307935,,,
136,1.133333,-2.943202,1.423125,0.307959,,,
137,1.141667,-2.943207,1.423121,0.307969,,,
138,1.150000,-2.941865,1.421569,0.308059,,,
139,1.158333,-2.943188,1.423037,0.308002,,,
140,1.166667,-2.943220,1.423168,0.307985,,,
141,1.175000,-2.943234,1.423017,0.307981,,,
142,1.183333,-2.943269,1.423083,0.307937,,,
143,1.191667,-2.943251,1.423218,0.308031,,,
144,1.200000,-2.943213,1.423173,0.308049,,,
145,1.208333,-2.943249,1.423145,0.307964,,,
146,1.216667,-2.943279,1.423136,0.308019,,,
147,1.225000,-2.943234,1.423099,0.307955,,,
148,1.233333,-2.943284,1.423136,0.307972,,,
149,1.241667,-2.943257,1.423158,0.307943,,,
150,1.250000,-2.943314,1.423115,0.307942,,,
151,1.258333,-2.943296,1.423157,0.307961,,,
152,1.266667,-2.943263,1.423106,0.307932,,,
153,1.275000,-2.943280,1.423233,0.307953,,,
154,1.283333,-2.943254,1.423100,0.307918,,,
155,1.291667,-2.943264,1.423136,0.307983,,,
156,1.300000,-2.943258,1.423110,0.307944,,,
157,1.308333,-2.943261,1.423082,0.307994,,,
158,1.316667,-2.943258,1.423080,0.307921,,,
159,1.325000,-2.943230,1.423153,0.308046,,,
160,1.333333,-2.943306,1.423153,0.308003,,,
161,1.341667,-2.943264,1.423123,0.307984,,,
162,1.350000,-2.943301,1.423145,0.307946,,,
163,1.358333,-2.943280,1.423146,0.307953,,,
164,1.366667,-2.943280,1.423075,0.308047,,,
165,1.375000,-2.943300,1.423138,0.307999,,,
166,1.383333,-2.943286,1.423116,0.307938,,,
167,1.391667,-2.943303,1.423205,0.307956,,,
168,1.400000,-2.943331,1.423215,0.307974,,,
169,1.408333,-2.943332,1.423187,0.307975,,,
170,1.416667,-2.943267,1.423171,0.307896,,,
171,1.425000,-2.943329,1.423096,0.307948,,,
172,1.433333,-2.943273,1.423158,0.308012,,,
173,1.441667,-2.943247,1.423148,0.307970,,,
174,1.450000,-2.943301,1.423136,0.307984,,,
175,1.458333,-2.943281,1.423158,0.307979,,,
176,1.466667,-2.943265,1.423196,0.308015,,,
177,1.475000,-2.943311,1.423185,0.308012,,,
178,1.483333,-2.943254,1.423127,0.308002,,,
179,1.491667,-2.943323,1.423122,0.307968,,,
180,1.500000,-2.943336,1.423177,0.307969,,,
181,1.508333,-2.943321,1.423182,0.307973,,,
182,1.516667,-2.943277,1.423130,0.308044,,,
183,1.525000,-2.943388,1.423253,0.307987,,,
184,1.533333,-2.943285,1.423212,0.307961,,,
185,1.541667,-2.943266,1.423153,0.307971,,,
186,1.550000,-2.943211,1.423166,0.307992,,,
187,1.558333,-2.943239,1.423175,0.308000,,,
188,1.566667,-2.943279,1.423186,0.307930,,,
189,1.575000,-2.943277,1.423105,0.308009,,,
190,1.583333,-2.943221,1.423077,0.307952,,,
191,1.591667,-2.943213,1.423145,0.307986,,,
192,1.600000,-2.943239,1.423151,0.307998,,,
193,1.608333,-2.943235,1.423135,0.308024,,,
194,1.616667,-2.943252,1.423114,0.307980,,,
195,1.625000,-2.943288,1.423163,0.307937,,,
196,1.633333,-2.943239,1.423164,0.307983,,,
197,1.641667,-2.943274,1.423144,0.307970,,,
198,1.650000,-2.943268,1.423121,0.307924,,,
199,1.658333,-2.943358,1.423118,0.307907,,,
200,1.666667,-2.943301,1.423116,0.307975,,,
201,1.675000,-2.943329,1.423097,0.307870,,,
202,1.683333,-2.943296,1.423147,0.307897,,,
203,1.691667,-2.943191,1.423120,0.308047,,,
204,1.700000,-2.943204,1.423099,0.308021,,,
205,1.708333,-2.943223,1.423145,0.307985,,,
206,1.716667,-2.943246,1.423134,0.307937,,,
207,1.725000,-2.943228,1.423148,0.307939,,,
208,1.733333,-2.943258,1.423172,0.307997,,,
209,1.741667,-2.943258,1.423132,0.308014,,,
210,1.750000,-2.943202,1.423128,0.307928,,,
211,1.758333,-2.943231,1.423101,0.307971,,,
212,1.766667,-2.943227,1.423113,0.308004,,,
213,1.775000,-2.943221,1.423134,0.308016,,,
214,1.783333,-2.943204,1.423162,0.308012,,,
215,1.791667,-2.943178,1.423068,0.307938,,,
216,1.800000,-2.943261,1.423092,0.307984,,,
217,1.808333,-2.943246,1.423122,0.308051,,,
218,1.816667,-2.943255,1.423071,0.307995,,,
219,1.825000,-2.943237,1.423155,0.307974,,,
220,1.833333,-2.943244,1.423109,0.307932,,,
221,1.841667,-2.943191,1.423162,0.308037,,,
222,1.850000,-2.943237,1.423170,0.308000,,,
223,1.858333,-2.943248,1.423150,0.307929,,,
224,1.866667,-2.943202,1.423104,0.307936,,,
225,1.875000,-2.943262,1.423078,0.307934,,,
226,1.883333,-2.943211,1.423113,0.308061,,,
227,1.891667,-2.943204,1.423174,0.307960,,,
228,1.900000,-2.943250,1.423141,0.308007,,,
229,1.908333,-2.943242,1.423173,0.307974,,,
230,1.916667,-2.943221,1.423109,0.307996,,,
231,1.925000,-2.943276,1.423219,0.307997,,,
232,1.933333,-2.943266,1.423144,0.307943,,,
233,1.941667,-2.943314,1.423148,0.307980,,,
234,1.950000,-2.943243,1.423132,0.307986,,,
235,1.958333,-2.943302,1.423181,0.308029,,,
236,1.966667,-2.943201,1.423096,0.308024,,,
237,1.975000,-2.943216,1.423161,0.308072,,,
238,1.983333,-2.943289,1.423178,0.307985,,,
239,1.991667,-2.943243,1.423151,0.307921,,,
240,2.000000,-2.943262,1.423211,0.307950,,,
241,2.008333,-2.943280,1.423203,0.307964,,,
242,2.016667,-2.943272,1.423163,0.307974,,,
243,2.025000,-2.943296,1.423115,0.307991,,,
244,2.033333,-2.943286,1.423200,0.307975,,,
245,2.041667,-2.943285,1.423190,0.308026,,,
246,2.050000,-2.943203,1.423151,0.308007,,,
247,2.058333,-2.943261,1.423137,0.307914,,,
248,2.066667,-2.943167,1.423103,0.308021,,,
249,2.075000,-2.943234,1.423145,0.308005,,,
250,2.083333,-2.943207,1.423144,0.307956,,,
251,2.091667,-2.943152,1.423118,0.308000,,,
252,2.100000,-2.943169,1.423104,0.307957,,,
253,2.108333,-2.943241,1.423088,0.307972,,,
254,2.116667,-2.943240,1.423183,0.307922,,,
255,2.125000,-2.943294,1.423145,0.307928,,,
256,2.133333,-2.943267,1.423096,0.307965,,,
257,2.141667,-2.943261,1.423135,0.307926,,,
258,2.150000,-2.943280,1.423135,0.307952,,,
259,2.158333,-2.943213,1.423114,0.307961,,,
260,2.166667,-2.943293,1.423121,0.307973,,,
261,2.175000,-2.943238,1.423113,0.308001,,,
262,2.183333,-2.943302,1.423111,0.307994,,,
263,2.191667,-2.943301,1.423106,0.307981,,,
