Format Version,1.1,Take Name,Take 2016-04-07 08.33.14 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 08.33.14.076 PM,Total Frames,3720,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10000,Marker_10000,Marker_10000,Marker_10014,Marker_10014,Marker_10014,Marker_10015,Marker_10015,Marker_10015,Marker_10016,Marker_10016,Marker_10016,Marker_10017,Marker_10017,Marker_10017,Marker_10019,Marker_10019,Marker_10019
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E3570271E","8392B20CF49E3570271E","8392B20CF49E3570271E","8392B20CF49E3570271F","8392B20CF49E3570271F","8392B20CF49E3570271F","8392B20CF49E35702720","8392B20CF49E35702720","8392B20CF49E35702720","8392B20CF49E35702721","8392B20CF49E35702721","8392B20CF49E35702721","8392B20CF49E35702723","8392B20CF49E35702723","8392B20CF49E35702723"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-2.310377,1.423764,1.461402,,,,,,,,,,,,,,,
1,0.008333,-2.310318,1.423800,1.461479,,,,,,,,,,,,,,,
2,0.016667,-2.310307,1.423800,1.461455,,,,,,,,,,,,,,,
3,0.025000,-2.310307,1.423865,1.461488,,,,,,,,,,,,,,,
4,0.033333,-2.310344,1.423855,1.461508,,,,,,,,,,,,,,,
5,0.041667,-2.310277,1.423760,1.461452,,,,,,,,,,,,,,,
6,0.050000,-2.310313,1.423787,1.461437,,,,,,,,,,,,,,,
7,0.058333,-2.310320,1.423774,1.461395,,,,,,,,,,,,,,,
8,0.066667,-2.310384,1.423804,1.461424,,,,,,,,,,,,,,,
9,0.075000,-2.310391,1.423726,1.461434,,,,,,,,,,,,,,,
10,0.083333,-2.310337,1.423734,1.461339,,,,,,,,,,,,,,,
11,0.091667,-2.310378,1.423777,1.461314,,,,,,,,,,,,,,,
12,0.100000,-2.310310,1.423741,1.461398,,,,,,,,,,,,,,,
13,0.108333,-2.310312,1.423741,1.461359,,,,,,,,,,,,,,,
