Format Version,1.1,Take Name,Take 2016-04-07 09.26.14 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 09.26.14.430 PM,Total Frames,11477,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10363,Marker_10363,Marker_10363,Marker_10368,Marker_10368,Marker_10368,Marker_10367,Marker_10367,Marker_10367,Marker_10371,Marker_10371,Marker_10371,Marker_10373,Marker_10373,Marker_10373
,,"8392B20CF49E3570287B","8392B20CF49E3570287B","8392B20CF49E3570287B","8392B20CF49E35702880","8392B20CF49E35702880","8392B20CF49E35702880","8392B20CF49E3570287F","8392B20CF49E3570287F","8392B20CF49E3570287F","8392B20CF49E35702883","8392B20CF49E35702883","8392B20CF49E35702883","8392B20CF49E35702885","8392B20CF49E35702885","8392B20CF49E35702885"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.079062,1.960071,-4.341556,,,,,,,,,,,,
1,0.008333,0.079226,1.960072,-4.341390,,,,,,,,,,,,
2,0.016667,0.079422,1.960058,-4.341341,,,,,,,,,,,,
3,0.025000,0.079583,1.960054,-4.341363,,,,,,,,,,,,
4,0.033333,0.079570,1.960091,-4.341228,,,,,,,,,,,,
5,0.041667,0.079712,1.960107,-4.341073,,,,,,,,,,,,
6,0.050000,0.079775,1.960110,-4.340993,,,,,,,,,,,,
7,0.058333,0.082278,1.959911,-4.337776,,,,,,,,,,,,
8,0.066667,0.082404,1.959860,-4.337775,,,,,,,,,,,,
9,0.075000,0.082403,1.960014,-4.337729,,,,,,,,,,,,
10,0.083333,0.082496,1.959849,-4.337557,,,,,,,,,,,,
11,0.091667,0.082403,1.959993,-4.337148,,,,,,,,,,,,
12,0.100000,0.082630,1.959890,-4.337238,,,,,,,,,,,,
13,0.108333,0.082631,1.959927,-4.336825,,,,,,,,,,,,
14,0.116667,0.082641,1.959766,-4.337102,,,,,,,,,,,,
15,0.125000,0.082538,1.959931,-4.336660,,,,,,,,,,,,
16,0.133333,0.082558,1.959797,-4.336744,,,,,,,,,,,,
17,0.141667,0.082640,1.959891,-4.336551,,,,,,,,,,,,
18,0.150000,0.082488,1.959878,-4.336494,,,,,,,,,,,,
19,0.158333,0.082490,1.959951,-4.336450,,,,,,,,,,,,
20,0.166667,0.082563,1.959876,-4.336326,,,,,,,,,,,,
21,0.175000,0.082490,1.959865,-4.336328,,,,,,,,,,,,
22,0.183333,0.082514,1.959924,-4.336058,,,,,,,,,,,,
23,0.191667,0.082486,1.959873,-4.336204,,,,,,,,,,,,
24,0.200000,0.082670,1.959700,-4.336295,,,,,,,,,,,,
25,0.208333,0.082540,1.959784,-4.336101,,,,,,,,,,,,
26,0.216667,0.082633,1.959712,-4.336118,,,,,,,,,,,,
27,0.225000,0.082446,1.959784,-4.336040,,,,,,,,,,,,
28,0.233333,0.082454,1.959890,-4.335873,,,,,,,,,,,,
29,0.241667,0.082486,1.959920,-4.335747,,,,,,,,,,,,
30,0.250000,0.082469,1.959809,-4.335804,,,,,,,,,,,,
31,0.258333,0.082421,1.959743,-4.335762,,,,,,,,,,,,
32,0.266667,0.082296,1.959788,-4.335711,,,,,,,,,,,,
33,0.275000,0.082356,1.959991,-4.335614,,,,,,,,,,,,
