Format Version,1.1,Take Name,Take 2016-04-07 09.30.11 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 09.30.11.679 PM,Total Frames,8363,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10008,Marker_10008,Marker_10008,Marker_10009,Marker_10009,Marker_10009,Marker_10010,Marker_10010,Marker_10010
,,"8392B20CF49E35702718","8392B20CF49E35702718","8392B20CF49E35702718","8392B20CF49E35702719","8392B20CF49E35702719","8392B20CF49E35702719","8392B20CF49E3570271A","8392B20CF49E3570271A","8392B20CF49E3570271A"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-3.602609,1.954450,-3.630718,,,,,,
1,0.008333,-3.602528,1.954405,-3.630221,,,,,,
2,0.016667,-3.602516,1.954206,-3.629833,,,,,,
3,0.025000,-3.602440,1.953863,-3.629652,,,,,,
4,0.033333,-3.602532,1.953463,-3.629259,,,,,,
5,0.041667,-3.602386,1.953115,-3.628788,,,,,,
6,0.050000,-3.602532,1.952957,-3.628180,,,,,,
7,0.058333,-3.602644,1.952478,-3.627885,,,,,,
8,0.066667,-3.602833,1.952152,-3.627585,,,,,,
9,0.075000,-3.602819,1.951833,-3.627325,,,,,,
10,0.083333,-3.602899,1.951355,-3.627245,,,,,,
11,0.091667,-3.602928,1.951169,-3.626999,,,,,,
12,0.100000,-3.602885,1.950868,-3.626714,,,,,,
13,0.108333,-3.602977,1.950611,-3.626063,,,,,,
14,0.116667,-3.602944,1.950247,-3.625738,,,,,,
15,0.125000,-3.602839,1.949977,-3.625189,,,,,,
16,0.133333,-3.602716,1.949632,-3.624462,,,,,,
17,0.141667,-3.602672,1.949459,-3.623957,,,,,,
18,0.150000,-3.602792,1.949100,-3.623646,,,,,,
19,0.158333,-3.602758,1.948903,-3.623087,,,,,,
20,0.166667,-3.602818,1.948646,-3.622717,,,,,,
21,0.175000,-3.602737,1.948295,-3.622259,,,,,,
22,0.183333,-3.602740,1.947972,-3.621959,,,,,,
23,0.191667,-3.602803,1.947639,-3.621851,,,,,,
24,0.200000,-3.602560,1.947027,-3.621732,,,,,,
25,0.208333,-3.602670,1.946908,-3.621111,,,,,,
26,0.216667,-3.602652,1.946490,-3.620859,,,,,,
27,0.225000,-3.602618,1.946075,-3.620562,,,,,,
28,0.233333,-3.602687,1.945591,-3.620115,,,,,,
29,0.241667,-3.602631,1.945023,-3.619874,,,,,,
30,0.250000,-3.601044,1.940506,-3.624432,,,,,,
31,0.258333,-3.600843,1.940226,-3.624479,,,,,,
32,0.266667,-3.600792,1.940303,-3.624253,,,,,,
33,0.275000,-3.600770,1.940426,-3.623857,,,,,,
34,0.283333,-3.600843,1.940251,-3.624109,,,,,,
35,0.291667,-3.601094,1.940065,-3.625183,,,,,,
36,0.300000,-3.601565,1.939938,-3.626266,,,,,,
37,0.308333,-3.601878,1.939863,-3.627502,,,,,,
38,0.316667,-3.604403,1.944457,-3.623845,,,,,,
39,0.325000,-3.604810,1.944546,-3.625257,,,,,,
40,0.333333,-3.605040,1.944585,-3.626889,,,,,,
41,0.341667,-3.604954,1.944579,-3.627804,,,,,,
42,0.350000,-3.605090,1.944571,-3.628727,,,,,,
